ATCG01290,0,1,1,1,2,3
AT3G48390,610,418,166,85,119,187
AT5G27450,976,1257,905,552,1141,1465
AT2G42290,404,752,389,297,443,502
AT2G11280,0,0,14,0,0,0
AT1G43897.1,0,0,0,0,0,0
AT3G49620,0,73,145,284,36,114
AT1G56470,6,12,21,2,10,14
AT3G42630,334,468,351,252,286,307
AT3G42935.1,0,0,0,0,0,0
AT1G19050,1075,841,2056,409,1049,612
AT3G43940,0,0,0,0,0,0
AT2G31710,228,261,335,185,333,327
AT5G23200,414,375,522,244,648,676
AT3G59070,0,0,0,0,0,0
AT5G56020,418,393,231,229,229,332
AT3G55540,0,0,0,0,0,0
AT5G67230,199,228,266,129,415,211
AT4G22220,3286,4928,4231,1664,4288,4568
AT3G51240,802,445,5183,517,3720,772
AT3G04110,264,156,1277,288,664,275
AT2G15660,0,0,0,0,0,0
AT1G64330,1414,1807,1771,1481,2909,2919
AT5G34790.1,0,0,27,32,0,0
AT3G50590,5032,4752,4917,1567,5438,5710
AT3G05240,40,44,48,0,39,43
AT1G03730,858,576,1076,374,998,529
AT3G03830,84,57,17,21,6,160
AT3G42190.1,0,0,0,0,0,0
AT5G20150,352,239,228,114,239,924
AT3G21940,0,0,0,0,0,0
AT1G42280.1,0,0,0,0,0,0
AT1G49610,0,7,9,14,13,48
AT5G55640,261,308,355,216,384,289
AT1G52510,2752,3200,4051,1642,3069,2901
AT5G51730,340,62,417,336,418,466
AT2G26270,142,265,271,114,360,302
AT5G38386,0,0,12,0,0,0
AT2G10470.1,0,0,0,0,0,0
AT1G44191,0,0,0,0,0,0
AT1G59990,1448,1861,1568,671,1655,1827
AT4G29070,551,1168,1222,369,795,852
AT1G34270,386,504,394,305,407,438
AT3G47910,1383,1833,2335,683,1810,1666
AT1G30790,0,0,0,0,0,0
AT5G45745,0,0,0,0,0,0
AT1G30795,0,0,0,0,0,0
AT4G22910,1301,1469,1766,1715,1187,1712
AT3G33130.1,0,0,0,0,0,0
AT3G54900,3445,3528,2844,2405,2892,3463
AT2G06150.1,0,0,0,0,0,0
AT4G26210,1345,1497,1307,781,1658,1419
AT3G58035,0,0,0,0,0,0
AT3G58030,1271,1499,2091,587,1796,1772
AT1G57777,0,0,0,0,0,0
AT3G50620,97,323,181,51,184,180
AT5G48240,328,658,542,250,500,558
AT4G04423,0,0,0,0,0,0
AT4G12340,1668,1902,1546,770,1658,1867
AT3G56500,0,7,0,0,21,11
AT2G29140,1118,1331,1295,633,1720,1415
AT1G06810,0,0,2,3,0,0
AT5G54510,2934,7336,1297,621,2255,4170
ATMG00100,0,1,0,1,0,1
AT5G50460,2775,3428,2402,1665,2497,2460
AT5G58610,0,17,75,0,46,43
AT2G13530.1,0,0,0,0,0,0
AT5G31702.1,0,0,0,0,0,0
AT3G19940,0,0,0,0,0,0
AT5G13840,1035,2175,1713,1408,1429,1455
AT3G15610,1503,1582,1281,795,1492,1213
AT5G13845,0,0,0,0,0,0
AT5G63870,1164,1673,1262,444,1400,1792
AT1G71970,1341,2345,482,821,1024,1609
AT4G16970,174,291,375,205,320,307
AT2G35170,326,360,231,144,438,242
AT2G39840,666,999,1137,319,801,963
AT3G05930,0,10,25,0,18,27
